Date,Open,High,Low,Close,Volume,Change,Name,Code,MA20,Stddev,Upper,Lower,PB,II,IIP21,TP,Positive_MF,Nagative_MF,MFR,MFI10
2022-03-22,3810,3930,3810,3900,7711,-0.012658227848101222,서울식품우,004415,3986.0,44.65069187917375,4075.3013837583476,3896.6986162416524,0.018484505051350793,21.85465229923428,0.5240823447755324,3880.0,0,29918680,0.1674420380489201,14.342642511722161
2022-03-22,29950,30000,28900,29300,144956,-0.02170283806343909,엔지켐생명과학,183490,31647.5,1291.7221267281411,34230.944253456284,29064.055746543716,0.045664669005461206,5.7163889280640285,0.0018332000551357784,29400.0,0,4261706400,0.4348771109330412,30.307620605241837
2022-03-22,45100,45150,44750,44950,53706,-0.003325942350332567,유나이티드제약,033270,45407.5,246.70192991219736,45900.90385982439,44914.09614017561,0.0363838457173519,45.587304359389556,0.058716869024513285,44950.0,0,2414084700,0.4316131140781451,30.148725925584486
2022-03-22,9080,9080,8700,8760,23385,-0.025583982202447175,제너셈,217190,9071.5,169.18613262174892,9409.872265243497,8733.127734756503,0.03970813805345354,12.9840314467268,0.04789549579959635,8846.666666666666,0,206879300,1.2108065694890207,54.76763938551494
2022-03-22,6560,6560,6410,6450,89995,-0.01225114854517606,제노포커스,187420,6826.0,191.92652129394517,7209.853042587891,6442.146957412109,0.010229230612510557,8.411882056541518,0.013418246727208753,6473.333333333333,0,582567633,0.29548793897731157,22.809007331289905
2022-03-22,7890,8080,7110,7310,290553,-0.07351077313054499,진양폴리,010640,8307.5,506.4829711941051,9320.46594238821,7294.53405761179,0.007633989328282456,3.615850067534054,0.0018387881756691227,7500.0,0,2179147500,0.6881926200877544,40.76505322313169
2022-03-22,9110,9170,9010,9070,64736,-0.011982570806100212,펩트론,087010,9360.5,152.9869271612742,9666.473854322549,9054.526145677451,0.025286236232191967,14.846814075729675,0.02420488808347879,9083.333333333334,0,588018666,0.5375805335942717,34.96275621658758
