Date,Open,High,Low,Close,Volume,Change,Name,Code,MA20,Stddev,Upper,Lower,PB,II,IIP21,TP,Positive_MF,Nagative_MF,MFR,MFI10
2022-03-24,1185,1400,1185,1290,11090447,0.11688311688311681,KD,044180,1127.7,125.53762320204318,1378.7752464040864,876.6247535959137,0.8232098789595342,3.3921608577506572,0.0002114993100023543,1291.6666666666667,14325160708,0,6.083456274795602,85.88259796904222
2022-03-24,8500,8540,7920,8310,2213056,-0.037079953650057895,데이타솔루션,263800,6654.0,1373.3608410861534,9400.721682172307,3907.278317827693,0.80145027265564,2.3141626915978915,0.00012872846959386726,8256.666666666666,0,18272465706,4.398938939517631,81.47784201298367
2022-03-24,10200,10450,9510,9550,2943969,0.020299145299145227,비트컴퓨터,032850,8947.5,448.82155618331655,9845.143112366633,8049.856887633367,0.8356010822672668,6.155087116545106,0.0009046758809481725,9836.666666666666,28958841730,0,7.966193024399762,88.84699451284739
2022-03-24,1785,1840,1770,1815,2193742,0.013966480446927276,서한,011370,1653.25,126.05632571276472,1905.3626514255295,1401.1373485744705,0.8207891374855868,4.420370494742711,0.0004412057685906999,1808.3333333333333,3967016783,0,4.563395298003468,82.02536497165914
2022-03-24,2640,2655,2540,2595,1049654,0.021653543307086576,성창기업지주,000180,2425.5,121.6974241387575,2668.894848277515,2182.105151722485,0.8481996459652646,6.179043783309582,0.001050125918675561,2596.6666666666665,2725601553,0,4.553862340706196,81.99451231135761
2022-03-24,39150,40400,39100,39800,1991824,0.0025188916876575096,신한지주,055550,38392.5,1056.343619276282,40505.187238552564,36279.812761447436,0.833106570228611,10.252390048096263,0.0005421843262902612,39766.666666666664,79208201066,0,4.189189476110328,80.72916773219134
2022-03-24,2665,2740,2610,2660,16373286,0.0,우리기술,032820,2313.0,283.81517309373527,2880.6303461874704,1745.3696538125296,0.8056566675219623,3.148730833540463,2.2629125086419792e-05,2670.0,43716673620,0,6.90548400421641,87.35055311646134
2022-03-24,7170,7440,7090,7440,1844950,0.027624309392265234,이수페타시스,007660,6964.0,357.0109829573518,7678.021965914703,6249.978034085297,0.8333230787866704,6.043246831250596,0.0002693729377375238,7323.333333333333,13511183833,0,4.167455878706452,80.64811730428696
2022-03-24,26350,30300,25650,27600,11764948,0.049429657794676896,일진파워,094820,22245.0,3891.3500566011458,30027.700113202292,14462.299886797708,0.8440322717122282,2.617195800985337,6.678547232194084e-05,27850.0,327653801800,0,7.125306997474477,87.6927727123317
2022-03-24,2675,2700,2655,2685,2153042,-0.005555555555555536,케이사인,192250,2531.5,110.16853043061074,2751.8370608612213,2311.1629391387787,0.8483299618321621,6.941267730687898,0.0002316151293791353,2680.0,5770152560,0,5.795585220569654,85.28456391109502
